Name,Org,Order,From,To,Descr
mpSrvMgmtA,FlashStack,sequential,,,Mgmt fabric A for hosts
mpSrvMgmtB,FlashStack,sequential,,,Mgmt fabric B for hosts
mpVMotion,FlashStack,sequential,,,Vmotion fabric AB for ESXi55 hosts
mpFT,FlashStack,sequential,,,FT fabric BA for ESXi55 hosts
mpN1kv,FlashStack,sequential,,,N1kv fabric BA for hosts
mpVMupl1A,FlashStack,sequential,,,VM uplink fabric A 
mpVMupl1B,FlashStack,sequential,,,VM uplink fabric B 
mpNSXVTEP1A,FlashStack,sequential,,,NSX uplink fabric A for ESXi55 hosts
mpNSXVTEP1B,FlashStack,sequential,,,NSX uplink fabric B for ESXi55 hosts
mpLiveMigration,FlashStack,sequential,,,LiveMigration for Hyper-V hosts
mpSrvMgmtA,ESXi55,sequential,00:25:b5:0a:01:01,00:25:b5:0a:01:05,Mgmt fabric A for ESXi55 hosts
mpSrvMgmtB,ESXi55,sequential,00:25:b5:0b:01:01,00:25:b5:0b:01:05,Mgmt fabric B for ESXi55 hosts
mpVMotion,ESXi55,sequential,00:25:b5:0c:99:01,00:25:b5:0c:99:05,Vmotion fabric AB for ESXi55 hosts
mpFT,ESXi55,sequential,00:25:b5:0d:98:01,00:25:b5:0d:98:05,FT fabric BA for ESXi55 hosts
mpN1kv,ESXi55,sequential,00:25:b5:0d:97:01,00:25:b5:0d:97:05,N1kv fabric BA for ESXI55 hosts
mpVMupl1A,ESXi55,sequential,00:25:b5:0a:02:01,00:25:b5:0a:02:05,VM uplink fabric A for ESXi55 hosts
mpVMupl1B,ESXi55,sequential,00:25:b5:0b:02:01,00:25:b5:0b:02:05,VM uplink fabric B for ESXi55 hosts
mpNSXVTEP1A,ESXi55,sequential,00:25:b5:0a:03:01,00:25:b5:0a:03:05,NSX uplink fabric A for ESXi55 hosts
mpNSXVTEP1B,ESXi55,sequential,00:25:b5:0b:03:01,00:25:b5:0b:03:05,NSX uplink fabric B for ESXi55 hosts
mpSrvMgmtA,HV2012R2,sequential,00:25:b5:1a:01:01,00:25:b5:1a:01:03,Mgmt fabric A for Hyper-V hosts
mpSrvMgmtB,HV2012R2,sequential,00:25:b5:1b:01:01,00:25:b5:1b:01:03,Mgmt fabric B for Hyper-V hosts
mpLiveMigration,HV2012R2,sequential,00:25:b5:1c:20:01,00:25:b5:1c:20:03,LiveMigration for Hyper-V hosts
mpN1kv,HV2012R2,sequential,00:25:b5:1d:97:01,00:25:b5:1d:97:03,N1kv fabric BA for Hyper-V hosts
mpVMupl1A,HV2012R2,sequential,00:25:b5:1a:02:01,00:25:b5:1a:02:03,VM uplink fabric A for Hyper-V hosts
mpVMupl1B,HV2012R2,sequential,00:25:b5:1b:02:01,00:25:b5:1b:02:03,VM uplink fabric B for Hyper-V hosts







